Location,X co-ordinate,Y co-ordinate,Floor,Section,Keywords
A-12-001,10,120,1,A,"Bolt, M6, 1.0 threads, 15mm length, M6-1.0x15mm"
A-12-002,20,120,1,A,"Bolt, M6, 1.0 threads, 20mm length, M6-1.0x20mm"
A-12-003,30,120,1,A,"Bolt, M6, 1.0 threads, 25mm length, M6-1.0x25mm"
A-12-004,40,120,1,A,"Bolt, M6, 1.0 threads, 30mm length, M6-1.0x30mm"
A-12-005,50,120,1,A,"Bolt, M6, 1.0 threads, 35mm length, M6-1.0x35mm"
A-12-006,60,120,1,A,"Bolt, M6, 1.0 threads, 40mm length, M6-1.0x40mm"
A-12-007,70,120,1,A,"Bolt, M6, 1.0 threads, 45mm length, M6-1.0x45mm"
A-12-008,80,120,1,A,"Bolt, M6, 1.0 threads, 50mm length, M6-1.0x50mm"
A-12-009,90,120,1,A,"Bolt, M6, 1.0 threads, 55mm length, M6-1.0x55mm"
A-03-108,1080,30,1,A,"Nut, M6, 1.0 threads, Steel"
A-10-010,100,100,1,A,"Nut, M6, 1.0 threads, Aluminum"
A-05-028,280,50,1,A,"Washer, M6, 1.2mm Thick"
A-05-113,1130,50,1,A,"Washer, M8, 1.2mm Thick"
A-01-001,10,10,1,A,"Nut, Locknut, M8, 1.25 threads, Aluminum"
B-08-199,1990,200,1,B,"Wrench, Metric, 10mm, Snap-on"
B-07-033,330,190,1,B,"Ratchet, 1/4 Inch Drive, 90 tooth, Craftsman"
B-07-079,790,190,1,B,"Drill, Cordless, Power, Dewalt"
B-01-111,1110,130,1,B,"Battery, M12, Milwaukee"
B-04-075,750,160,1,B,"Impact, M12, 1/2 Inch Drive, Cordless, Power, Milwaukee"
C-07-057,570,310,1,C,"Engine Oil, Vehicle, 5W-30, LiquiMoly"
C-09-032,320,330,1,C,"Engine Oil, Vehicle, 0W-40, Castrol"
C-06-157,1570,300,1,C,"Windshield Washer Fluid, Vehicle, -40C, Kirkland"
C-06-161,1610,300,1,C,"Windshield Washer Fluid, Vehicle, -30C, Kirkland"
F-11-138,1380,710,1,F,"Boots, Steel Toe, Size 9.5, Brown, Mark's"
